"Date","Region","Amount"
"2024-01-30","East","4033.56"
"2024-08-08","West","2290.71"
"2024-11-18","North","1829.99"
"2024-01-19","North","4234.3"
"2024-04-22","West","2756.95"
"2024-03-02","West","3990.47"
"2024-06-22","South","598.68"
"2024-02-11","East","783.36"
"2024-01-06","East","2192.11"
"2024-03-31","North","3030.34"
"2024-07-02","East","3147.79"
"2024-12-12","North","1711.01"
"2024-06-15","East","4309.19"
"2024-03-23","North","4370.94"
"2024-08-13","South","1005"
"2024-01-27","East","3520.62"
"2024-04-28","West","3536.46"
"2024-09-23","South","2935.03"
"2024-10-19","South","304.72"
"2024-08-30","North","1731.24"
"2024-01-08","North","140.08"
"2024-10-03","North","2031.85"
"2024-03-22","West","4647.94"
"2024-03-19","North","1804.37"
"2024-12-08","East","844.45"
"2024-03-25","West","1326.62"
"2024-12-15","South","4719.96"
"2024-09-23","South","1085.62"
"2024-11-24","South","1860.7"
"2024-01-16","East","2716.81"
"2024-04-15","South","2777.26"
"2024-07-11","East","266.74"
"2024-11-12","South","1454.02"
"2024-10-16","South","3541.52"
"2024-10-08","East","3315.2"
"2024-05-09","South","2677.58"
"2024-06-05","North","2387.38"
"2024-10-16","North","3263.57"
"2024-05-22","West","3575.12"
"2024-10-22","South","3903.96"
"2024-01-13","East","1146.97"
"2024-05-24","South","4607.91"
"2024-10-20","West","306.32"
"2024-02-13","West","3230.22"
"2024-12-22","East","552.63"
"2024-03-29","South","4099.08"
"2024-07-18","North","4899.61"
"2024-10-31","North","2935.52"
"2024-01-25","West","509.74"
"2024-11-25","East","4582.02"
"2024-04-28","East","110.1"
"2024-07-02","South","3393.01"
"2024-06-27","West","995.17"
"2024-09-26","North","1985.57"
"2024-06-26","West","1088.46"
"2024-10-30","South","2766.63"
"2024-07-21","East","1728.29"
"2024-11-22","West","1643.98"
"2024-10-18","East","2851.59"
"2024-08-20","West","2211.48"
"2024-11-02","South","1436.66"
"2024-02-16","South","1620.48"
"2024-08-21","West","2103.2"
"2024-06-02","South","2957.27"
"2024-08-19","South","4956.82"
"2024-08-05","West","1609.3"
"2024-05-17","East","3422.68"
"2024-07-16","West","4933.84"
"2024-08-01","West","3992.37"
"2024-09-08","North","2813.99"
"2024-02-10","South","339.83"
"2024-10-02","South","3291.56"
"2024-02-11","West","2626.78"
"2024-11-22","East","1782.95"
"2024-02-19","East","2048.95"
"2024-10-01","West","2320.91"
"2024-04-28","East","4276.17"
"2024-04-02","West","529.46"
"2024-10-02","West","2810.65"
"2024-04-14","North","1870.52"
"2024-07-07","South","3876.85"
"2024-11-08","West","4500.78"
"2024-07-14","South","4554.01"
"2024-05-04","West","4964.88"
"2024-10-17","West","335.21"
"2024-05-02","West","1151.45"
"2024-08-03","South","943.46"
"2024-05-04","West","2555.39"
"2024-09-13","South","3018.71"
"2024-12-17","South","3054.06"
"2024-02-05","South","4076.42"
"2024-02-26","West","1283.05"
"2024-07-28","West","4133.1"
"2024-07-01","East","1951.89"
"2024-07-18","South","3625.19"
"2024-11-10","West","3885.33"
"2024-01-15","West","4475.39"
"2024-05-03","North","3587.84"
"2024-03-10","East","2975.03"
"2024-04-08","East","2319.08"
"2024-04-20","North","4425.36"
"2024-04-22","East","3319.04"
"2024-03-07","North","639.2"
"2024-10-22","South","705.45"
"2024-05-23","East","3129.15"
"2024-10-17","South","1957.06"
"2024-10-13","South","2039.35"
"2024-10-28","South","2945.79"
"2024-09-16","South","728.16"
"2024-02-06","South","1083.21"
"2024-08-27","West","722.83"
"2024-05-15","East","3246.5"
"2024-06-30","East","3737.56"
"2024-01-23","North","4133.52"
"2024-08-30","East","3315.47"
"2024-10-08","South","3081.21"
"2024-02-04","West","1952.1"
"2024-03-17","West","1624.86"
"2024-01-21","West","3290.94"
"2024-04-20","North","2462.64"
"2024-07-12","East","3397.05"
"2024-11-28","East","2348.97"
"2024-12-30","East","4470.62"
"2024-12-23","West","2837.61"
"2024-08-21","North","903.71"
"2024-07-28","East","3474.04"
"2024-12-04","South","4080.87"
"2024-07-09","East","2893.71"
"2024-10-28","West","4093.38"
"2024-10-25","West","3617.41"
"2024-12-28","East","3245.67"
"2024-04-05","North","3022.93"
"2024-02-25","South","497.95"
"2024-03-13","South","4636.52"
"2024-09-19","East","570.45"
"2024-10-26","North","3867.21"
"2024-02-23","West","1661.44"
"2024-12-18","West","3312.56"
"2024-09-02","East","470.02"
"2024-02-07","East","3554.09"
"2024-08-23","East","3570.03"
"2024-03-04","South","618.08"
"2024-12-01","West","1008.8"
"2024-07-26","West","2097.11"
"2024-08-10","North","921.4"
"2024-11-20","South","4453.83"
"2024-06-22","East","4391.58"
"2024-01-17","North","4160.4"
"2024-05-26","East","4097.72"
"2024-12-27","North","2671.32"
"2024-07-09","East","3365.27"
"2024-05-17","North","3002.68"
"2024-03-20","North","748.96"
"2024-12-28","South","1053.88"
"2024-08-01","North","404.54"
"2024-11-29","West","3285.41"
"2024-06-27","South","1107.59"
"2024-03-09","North","508.24"
"2024-10-30","North","2607.83"
"2024-11-17","South","4788.44"
"2024-04-16","South","3951.44"
"2024-08-29","East","1936.23"
"2024-09-28","East","952.93"
"2024-07-29","North","1378.98"
"2024-10-03","West","594.08"
"2024-09-06","West","536.44"
"2024-10-07","West","3397.83"
"2024-03-01","West","4055.72"
"2024-04-26","West","2153.04"
"2024-08-01","North","4781.49"
"2024-01-30","West","3860.14"
"2024-03-05","North","4863.73"
"2024-05-29","South","2712.51"
"2024-09-08","East","708.6"
"2024-06-23","South","659.57"
"2024-12-11","West","809.21"
"2024-12-25","East","761.65"
"2024-06-03","East","1505.59"
"2024-04-13","East","2216.87"
"2024-12-24","West","3591.14"
"2024-12-15","East","3450.85"
"2024-03-21","West","1720.99"
"2024-06-29","North","3938.86"
"2024-02-17","West","2746.83"
"2024-07-22","East","1659.17"
"2024-07-19","North","2969.52"
"2024-09-10","West","4525.4"
"2024-04-10","North","2056.56"
"2024-10-27","North","1203.1"
"2024-06-24","South","2923.97"
"2024-07-16","West","2947.2"
"2024-10-27","North","157.68"
"2024-06-10","West","2148.55"
"2024-10-13","West","4266.98"
"2024-05-12","South","4389.54"
"2024-08-05","South","266.22"
"2024-12-20","North","2228.23"
"2024-11-05","West","4838.61"
"2024-10-23","North","2831.92"
"2024-04-14","West","4200.43"
"2024-02-08","East","3474.44"
"2024-03-16","North","4228.53"
"2024-12-17","North","1802.43"
"2024-04-22","East","2218.77"
"2024-03-02","South","4625.35"
"2024-01-20","South","3759.07"
"2024-07-10","East","3975.99"
"2024-03-10","North","868.53"
"2024-02-21","North","807.17"
"2024-08-12","East","345.75"
"2024-06-15","East","4309.46"
"2024-07-31","North","2245.49"
"2024-02-29","East","1400.33"
"2024-01-13","North","744.91"
"2024-09-08","North","3169.9"
"2024-01-01","North","1941.98"
"2024-01-16","South","3865.91"
"2024-10-23","South","946.58"
"2024-01-17","South","2556.15"
"2024-07-13","East","4483.96"
"2024-09-12","West","3646.91"
"2024-04-18","South","4768.03"
"2024-07-28","North","1236.89"
"2024-06-26","South","3817.99"
"2024-06-25","West","2989.82"
"2024-08-29","North","4263.22"
"2024-07-13","East","173.15"
"2024-10-08","North","1348.33"
"2024-04-13","North","2036.19"
"2024-09-08","North","3839.68"
"2024-12-08","North","536.35"
"2024-05-15","West","1524.15"
"2024-05-29","West","4069.17"
"2024-09-03","West","553.52"
"2024-02-22","North","4341.42"
"2024-01-04","West","1421.25"
"2024-08-01","West","2107.93"
"2024-08-26","East","4632.84"
"2024-11-17","South","3895.72"
"2024-06-20","East","1122.85"
"2024-07-23","South","349.16"
"2024-06-20","North","1379.27"
"2024-09-02","East","866.37"
"2024-04-19","West","665.97"
"2024-01-15","South","3586.16"
"2024-12-03","North","161.92"
"2024-05-22","West","1638.78"
"2024-02-15","East","830.32"
"2024-05-09","West","3179.33"
"2024-03-01","West","2083.47"
"2024-07-07","South","1930.29"
"2024-08-08","East","2753.7"
"2024-01-16","North","142.89"
"2024-08-09","West","1171.75"
"2024-02-11","West","760.3"
"2024-04-17","North","810.52"
"2024-03-19","South","1596.08"
"2024-10-05","East","3744.91"
"2024-11-23","West","3940.32"
"2024-11-26","East","1394.09"
"2024-08-19","North","3136.79"
"2024-10-02","South","1633.64"
"2024-09-28","West","3726.74"
"2024-03-03","South","4752.2"
"2024-01-02","South","4665.65"
"2024-02-04","East","4115.03"
"2024-01-06","East","3397.54"
"2024-06-25","South","2714.4"
"2024-02-06","South","4307.76"
"2024-08-18","North","3453.12"
"2024-10-04","East","2842.43"
"2024-09-29","South","4188.15"
"2024-08-07","West","2553.85"
"2024-10-27","North","951.16"
"2024-05-28","East","475.91"
"2024-05-10","South","1546.9"
"2024-10-24","South","2156.85"
"2024-12-18","South","375.68"
"2024-08-04","East","2821.3"
"2024-02-01","North","242.61"
"2024-06-15","East","3685.45"
"2024-01-21","West","3729.75"
"2024-05-22","West","4082.56"
"2024-02-05","West","3288.07"
"2024-04-26","East","2583.5"
"2024-07-01","East","4542.6"
"2024-06-16","North","4979.85"
"2024-07-25","South","4545.23"
"2024-04-06","South","1336.7"
"2024-07-03","East","4131.07"
"2024-04-12","North","3576.49"
"2024-06-21","West","2255.98"
"2024-06-10","West","3195.16"
"2024-05-02","South","2544.54"
"2024-06-25","North","1584.97"
"2024-10-08","North","3505.45"
"2024-07-20","East","446.09"
"2024-08-25","North","4551.99"
"2024-01-13","South","1544.19"
"2024-10-28","South","3130.97"
"2024-06-27","South","617.99"
"2024-12-28","South","4919.5"
"2024-12-10","South","4142.6"
"2024-01-25","East","3674.89"
"2024-04-10","East","3909.41"
"2024-06-30","East","604.35"
"2024-08-09","West","824"
"2024-07-23","South","402.07"
"2024-10-02","North","4428.66"
"2024-10-20","West","2435.74"
"2024-02-23","North","2832.78"
"2024-01-05","South","491.08"
"2024-05-23","West","4491.12"
"2024-04-26","South","4014.14"
"2024-11-14","West","269.5"
"2024-05-04","West","2591.56"
"2024-02-17","North","4068.52"
"2024-03-11","East","1549.88"
"2024-06-21","South","4668.45"
"2024-01-17","East","1022.49"
"2024-02-06","East","2101.49"
"2024-05-07","South","2255.18"
"2024-03-03","West","1439.24"
"2024-09-12","East","2983.65"
"2024-03-16","West","3370.29"
"2024-05-07","North","2409.92"
"2024-01-10","West","1356.9"
"2024-05-17","North","4521.02"
"2024-09-01","South","2045.53"
"2024-04-05","North","4591.29"
"2024-02-23","West","1346.35"
"2024-09-16","East","3470.11"
"2024-05-22","North","2848.93"
"2024-08-05","East","648"
"2024-03-27","West","2218.68"
"2024-03-22","South","4685.16"
"2024-08-18","East","1293.41"
"2024-06-17","East","4152.71"
"2024-12-07","North","2405.16"
"2024-07-04","North","4843.76"
"2024-01-16","South","3626.04"
"2024-05-10","North","3798.14"
"2024-05-02","West","420.17"
"2024-12-24","South","912.4"
"2024-11-29","West","1284.71"
"2024-02-22","East","1257.68"
"2024-06-20","West","4845.35"
"2024-06-17","North","2160.12"
"2024-09-03","North","1727.27"
"2024-06-05","South","2520.89"
"2024-03-20","South","4216.36"
"2024-08-04","North","1369.88"
"2024-05-23","South","4428.54"
"2024-09-05","South","2482.03"
"2024-11-14","North","899.89"
"2024-01-29","North","2965.12"
"2024-08-02","South","2968.96"
"2024-03-26","East","1257.28"
"2024-12-31","North","1455.88"
"2024-04-19","North","4331.61"
"2024-06-03","South","3641.54"
"2024-07-28","South","465.04"
"2024-04-29","West","4413.58"
"2024-12-25","South","1380.39"
"2024-05-09","South","2834.79"
"2024-06-25","North","4923.91"
"2024-04-04","North","766.54"
"2024-09-30","South","4946.37"
"2024-11-28","South","4254.05"
"2024-08-09","North","4855.38"
"2024-12-25","East","1054.32"
"2024-01-08","West","4903.91"
"2024-10-06","West","4444.19"
"2024-02-02","South","1241.74"
"2024-09-14","North","269.73"
"2024-04-28","South","1296.34"
"2024-09-05","North","4953.91"
"2024-04-16","East","533.2"
"2024-09-23","North","418.01"
"2024-09-25","North","3917.76"
"2024-03-23","North","3649.06"
"2024-11-29","East","3330.9"
"2024-01-25","West","2732.12"
"2024-07-30","North","1529.68"
"2024-02-05","East","4231.88"
"2024-11-26","East","1272.48"
"2024-12-15","North","599.11"
"2024-08-08","South","471.66"
"2024-12-24","North","350.35"
"2024-02-08","West","2940.95"
"2024-12-01","East","3218.35"
"2024-02-09","South","248.03"
"2024-07-05","South","3052.34"
"2024-05-17","West","2786.15"
"2024-09-15","East","4012.26"
"2024-09-12","East","4380.3"
"2024-03-30","South","3198.11"
"2024-10-29","South","483.99"
"2024-09-04","North","4000.36"
"2024-08-25","South","1618.8"
"2024-08-10","South","300.34"
"2024-12-16","North","3477.51"
"2024-08-27","South","1601.52"
"2024-10-24","West","1317.27"
"2024-08-21","North","1700.87"
"2024-07-21","South","4144.99"
"2024-04-11","West","2529.79"
"2024-03-05","South","2391.6"
"2024-12-12","East","1326.8"
"2024-07-23","West","1270.58"
"2024-03-26","South","4336.61"
"2024-04-17","South","1557.53"
"2024-07-04","North","2246.62"
"2024-02-09","East","1098.95"
"2024-07-26","West","2208.13"
"2024-05-20","East","1080.72"
"2024-10-02","East","3659.78"
"2024-12-21","West","3279.49"
"2024-10-24","West","585.18"
"2024-07-28","East","2904.62"
"2024-06-09","East","2845.51"
"2024-01-25","North","2716.84"
"2024-05-20","West","4079.53"
"2024-01-11","East","820.45"
"2024-05-21","East","1264.35"
"2024-04-16","North","2202.3"
"2024-01-14","North","4514.98"
"2024-01-19","South","1602.11"
"2024-07-06","West","2497.3"
"2024-03-19","West","1747.78"
"2024-03-13","South","3724.71"
"2024-11-12","North","4735.91"
"2024-08-23","West","4281.32"
"2024-11-24","East","4238.78"
"2024-05-22","North","478.51"
"2024-07-31","North","1093.33"
"2024-05-30","North","4119.23"
"2024-09-02","North","2286.33"
"2024-09-02","West","1525.75"
"2024-04-02","North","1643.86"
"2024-01-17","East","4342.09"
"2024-06-23","South","650.11"
"2024-05-29","North","2540.61"
"2024-04-16","North","643.42"
"2024-07-29","East","2861.83"
"2024-01-21","North","511.45"
"2024-03-24","South","3435.3"
"2024-04-14","South","4786.35"
"2024-07-07","North","2051.78"
"2024-04-17","East","1479.42"
"2024-08-27","West","4727.71"
"2024-07-16","South","4176.63"
"2024-12-24","South","4468.79"
"2024-12-19","East","400.63"
"2024-09-14","East","4380.77"
"2024-09-16","East","2033.1"
"2024-11-19","North","3659.72"
"2024-03-16","East","3148.66"
"2024-08-20","South","1881.57"
"2024-11-28","South","1581.52"
"2024-09-18","East","1704.02"
"2024-03-20","North","1367.37"
"2024-03-01","East","1520.43"
"2024-09-24","East","3775.47"
"2024-03-11","West","3827.89"
"2024-08-14","North","3455.28"
"2024-01-31","South","2227.58"
"2024-01-02","West","2938.9"
"2024-07-22","West","1890.23"
"2024-04-27","South","556.16"
"2024-06-20","East","4766.22"
"2024-08-03","West","386.22"
"2024-09-25","West","2468.42"
"2024-08-13","North","378.37"
"2024-02-08","East","2733.94"
"2024-12-23","East","3824.61"
"2024-11-11","East","964.34"
"2024-09-05","South","850.48"
"2024-11-13","North","3543.48"
"2024-09-30","North","1022.44"
"2024-11-22","South","754.63"
"2024-03-13","West","138.56"
"2024-10-18","North","165.12"
"2024-09-14","South","559.71"
"2024-03-14","West","1392.62"
"2024-05-18","South","1374.58"
"2024-01-16","North","2224.2"
"2024-08-09","West","4455"
"2024-12-01","South","1290.8"
"2024-10-19","North","2750.42"
"2024-05-10","South","4150.03"
"2024-04-18","North","3523.45"
"2024-12-03","South","4449.15"
"2024-07-12","East","2116.26"
"2024-09-30","East","735.83"
"2024-01-31","West","1857.97"
"2024-11-21","West","4073.65"
"2024-06-11","North","506.06"
"2024-10-03","West","1978.39"
"2024-03-30","West","2421.38"
"2024-10-06","South","4422.05"
"2024-06-21","West","4506.58"
"2024-04-07","South","3755.94"
"2024-07-25","West","4957.59"
"2024-05-16","North","2060.44"
"2024-01-09","South","1579.15"
"2024-10-04","South","1629.34"
"2024-11-19","South","1228.59"
"2024-09-24","South","1471.33"
"2024-09-29","North","2224.72"
"2024-04-25","North","3175.96"
"2024-05-31","South","981.49"
"2024-07-12","West","4080.19"
"2024-03-25","South","2898.54"
"2024-08-12","West","279.28"
"2024-10-26","East","1050.57"
"2024-09-06","North","2205.4"
"2024-01-30","West","2285.25"
"2024-02-29","South","535.64"
"2024-08-26","North","2225.08"
"2024-08-14","North","1893.14"
"2024-04-24","East","3901.35"
"2024-05-13","South","3761.96"
"2024-03-21","West","2961.34"
"2024-06-28","North","192.25"
"2024-09-28","West","2969.18"
"2024-03-11","South","4230.38"
"2024-02-01","East","4057.45"
"2024-01-02","East","1043.64"
"2024-03-07","West","4432.7"
"2024-02-03","South","2706.85"
"2024-05-18","North","1529.23"
"2024-03-16","West","464.57"
"2024-04-05","West","645.81"
"2024-06-12","West","1276.57"
"2024-11-05","North","4790.56"
"2024-06-05","West","3084.12"
"2024-07-03","West","4177.23"
"2024-08-04","North","2367.37"
"2024-07-23","West","178.31"
"2024-08-01","East","3561.92"
"2024-11-11","East","3112.98"
"2024-01-20","East","4595.9"
"2024-09-23","North","4860"
"2024-07-06","South","2326.29"
"2024-09-24","North","3031.66"
"2024-07-26","East","3245.52"
"2024-03-27","South","4174.51"
"2024-04-10","North","2156.59"
"2024-09-13","South","479.52"
"2024-10-30","North","4958.91"
"2024-01-22","North","1443.49"
"2024-05-28","North","1733.6"
"2024-08-16","South","2456.45"
"2024-01-15","North","4435.84"
"2024-08-21","South","2672.78"
"2024-05-18","South","4482.35"
"2024-11-12","South","836.65"
"2024-05-16","West","2193.23"
"2024-11-16","North","2753.68"
"2024-03-12","West","1683.42"
"2024-11-03","South","4455.67"
"2024-12-24","West","1351.15"
"2024-03-06","West","372.78"
"2024-04-06","South","1885.68"
"2024-02-28","East","367.7"
"2024-12-12","North","3017.57"
"2024-11-23","West","4650.29"
"2024-03-08","South","3314.9"
"2024-11-03","North","1715.59"
"2024-11-05","North","4978.68"
"2024-10-16","West","2264.71"
"2024-02-27","East","4028.85"
"2024-12-30","North","2743.49"
"2024-04-08","East","2709.44"
"2024-11-02","North","337.52"
"2024-10-14","East","846.21"
"2024-05-16","South","4756.23"
"2024-12-12","West","246.18"
"2024-05-24","North","4674.99"
"2024-03-26","East","3864.87"
"2024-12-04","West","4004.21"
"2024-01-22","West","2610.1"
"2024-12-03","East","4980.14"
"2024-04-02","South","4901.42"
"2024-01-21","North","710.54"
"2024-05-24","West","1888.52"
"2024-08-10","East","2409.76"
"2024-03-05","West","3047.73"
"2024-01-17","South","734.61"
"2024-05-30","South","2759.07"
"2024-11-13","South","2644.2"
"2024-10-09","West","4335.61"
"2024-09-26","South","719.48"
"2024-07-15","South","1127.66"
"2024-02-27","East","4890.25"
"2024-12-21","South","3410.4"
"2024-11-27","South","1631.59"
"2024-07-27","North","507.54"
"2024-04-18","North","4307.8"
"2024-03-12","East","3174.35"
"2024-05-20","North","1276.16"
"2024-06-14","West","1019.1"
"2024-06-17","West","1476.11"
"2024-04-05","North","2872.16"
"2024-03-28","East","1041.3"
"2024-04-05","East","1838.05"
"2024-08-16","East","4781.76"
"2024-06-15","North","3847.6"
"2024-03-25","West","776.01"
"2024-06-08","West","3019.9"
"2024-01-03","North","3843.8"
"2024-07-01","East","1827.54"
"2024-12-20","North","3701.68"
"2024-10-16","North","3066.58"
"2024-05-24","North","1756.68"
"2024-09-30","West","2813.43"
"2024-11-22","East","3662.85"
"2024-07-03","North","4704.01"
"2024-09-02","South","119.57"
"2024-06-22","East","517.61"
"2024-01-19","East","4071.96"
"2024-09-07","West","686.85"
"2024-10-20","North","4598.02"
"2024-11-03","West","1658.33"
"2024-08-14","South","2870.04"
"2024-05-08","East","4322.16"
"2024-06-05","West","4849.96"
"2024-08-01","North","2250.5"
"2024-11-13","North","4849.77"
"2024-10-28","South","1200.66"
"2024-05-07","West","2451.4"
"2024-08-25","North","2477.05"
"2024-10-17","North","2013.61"
"2024-03-20","South","2993.52"
"2024-08-20","East","3742.4"
"2024-05-29","South","3712.67"
"2024-05-16","West","4361.36"
"2024-02-22","East","3725.54"
"2024-02-12","West","2450.12"
"2024-05-16","South","3789.06"
"2024-02-25","South","4571.37"
"2024-09-10","West","4007.68"
"2024-11-02","South","558.26"
"2024-01-30","North","1811.84"
"2024-06-21","East","2736.97"
"2024-05-18","South","2517.96"
"2024-09-11","West","3124.68"
"2024-03-25","West","2575.13"
"2024-05-09","East","2285.3"
"2024-09-27","North","1447.55"
"2024-01-03","West","4478.91"
"2024-08-21","East","4842.51"
"2024-09-05","South","2846.68"
"2024-12-12","North","4581.08"
"2024-08-23","West","3856.84"
"2024-07-09","North","4216.54"
"2024-03-14","North","2633.36"
"2024-12-26","North","1846.64"
"2024-02-19","South","2682.74"
"2024-05-29","West","1495.23"
"2024-05-08","East","2235.87"
"2024-10-26","East","747.4"
"2024-06-15","South","788.35"
"2024-07-27","North","129.11"
"2024-12-07","North","4454.94"
"2024-09-14","North","864.85"
"2024-09-27","South","2721.71"
"2024-08-09","North","4005.22"
"2024-10-04","East","3759.81"
"2024-07-15","North","832.77"
"2024-06-10","West","3059.99"
"2024-04-10","North","2416.52"
"2024-06-24","South","1174.91"
"2024-08-20","East","4204.86"
"2024-09-13","North","276.91"
"2024-07-06","East","4639.96"
"2024-06-20","West","1717.28"
"2024-05-15","North","2568.29"
"2024-10-01","North","2843.78"
